selection1_name,selection1_location,selection1_date,selection1_Category
Warbirds on Parade 2023,NZ Warbirds Association,Sun 4 Jun 9:00am,Aviation
Free Bubble Soccer in the Park - Barry Curtis Park,Barry Curtis Park,Sun 4 Jun 2:30pm,"Games, Carnivals"
Fun Art Classes for Beginners - Hibiscus Coast,Red Beach Surf Lifesaving Club,Sun 4 Jun 1:30pm,Education
Bonus Screening 3,Roxy,Mon 5 Jun 3:30pm,Film
Mind Coaching: Developing A Champions Mindset,The Australasian Leadership Institute,Tue 6 Jun 10:00am,Business & Professional
Iceage (DEN) • Auckland,The Tuning Fork,Tue 6 Jun 7:00pm,Punk
Auckland Film Soc – B-Movie: Lust and Sound in West-Berlin,Academy Cinemas,Tue 6 Jun 6:15pm,Film
Introduction To Leadership: A Mark Wager Workshop,The Australasian Leadership Institute,Wed 7 Jun 10:00am,Business & Professional
Flying Saucers Beginner Pottery Class,Wood Fired Pottery School,Wed 7 Jun 6:15pm,Education
Leadership & Management Part 3,The Parnell Hotel & Conference Centre,Wed 7 Jun 8:30am,Business & Professional
Personal Development: Self Confidence & Assertiveness,The Australasian Leadership Institute,Thu 8 Jun 10:00am,Business & Professional
World Ocean Day Celebration,Sir Peter Blake Marine Education & Rec Centre,Thu 8 Jun 5:00pm,Public Talks & Tours
The Haka Party Incident,Te Pou Theatre,Thu 8 Jun 7:30pm,Theatre
Wynyard Grill Jazz Night ft. Soul Bossa Nova Duo,Wynyard Grill,Thu 8 Jun 7:00pm,Jazz
Aon Gold Medal Public Lecture,Viaduct Events Centre,Thu 8 Jun 4:00pm,Public Talks & Tours
'Allo 'Allo - Le Dinner Show,The Parnell Hotel & Conference Centre,Fri 9 Jun 7:00pm,Comedy
Yerin Baek,The Tuning Fork,Fri 9 Jun 7:00pm,Pop
Stetson Club - Brendon Ham Band,Dairy Flat Community Hall,Fri 9 Jun 7:30pm,Country
Auck/North - Simone Jackson Workshop - Tiritiri Matangi Is,Tiritiri Matangi Island,Sat 10 Jun 8:30am,Business & Professional
Come Together - Dire Straits' Making Movies,Kiri Te Kanawa Theatre - Aotea Centre,Sat 10 Jun 8:00pm,Rock
Nathan Homestead Creative Market,Nathan Homestead - Manurewa Arts Centre,Sat 10 Jun 10:00am,Markets and Fairs
Gently Loved Markets Greenhithe,Greenhithe Village Hall,Sat 10 Jun 10:00am,Markets and Fairs
Bubble Soccer in the Park - Owairaka Park,Owairaka Park,Sat 10 Jun 10:00am,"Games, Carnivals"
Granny Square Crochet | Workshop,UXBRIDGE Arts & Culture Centre,Sat 10 Jun 10:00am,Family & Lifestyle
Glass Fusing | Workshop,UXBRIDGE Arts & Culture Centre,Sat 10 Jun 9:00am,Family & Lifestyle
Textile Block Printing | Workshop,UXBRIDGE Arts & Culture Centre,Sat 10 Jun 9:30am,Family & Lifestyle
Auckland Tuatara v Franklin Bulls,Eventfinda Stadium,Sun 11 Jun 6:00pm,Basketball
Tablefox + Guests,Big Fan,Sun 11 Jun 4:00pm,Rock
Midwinter Christmas Concert,St Matthew-in-the-City,Sun 11 Jun 3:30pm,"Choir, Vocal Music"
Acting for Stage and Camera: Short Course for Adults,New Lynn Community Centre,Thu 16 Mar 6:30pm,Education
Chris Parker | Lots Of Love | Auckland Second Show,Kiri Te Kanawa Theatre - Aotea Centre,Sun 11 Jun 7:00pm,Comedy
Leys Orchestra Family Concert,Warkworth Town Hall,Sun 11 Jun 3:00pm,Classical Music
Crystal Visions Holistic Market,Titirangi War Memorial Hall,Sun 11 Jun 10:00am,Markets and Fairs
Negociants Fine Wine Tour 2023 - Auckland,Hilton Auckland Hotel,Mon 12 Jun 6:00pm,"Food, Gourmet, Wine"
Auckland Film Society – The Naked City,Academy Cinemas,Mon 12 Jun 6:15pm,Film
Leadership Skills: Building More Effective Teams,The Australasian Leadership Institute,Tue 13 Jun 10:00am,Business & Professional
King Lear,ASB Waterfront Theatre,Tue 13 Jun 7:00pm,Theatre
Researching Your House,Whare Wānanga,Wed 14 Jun 12:00pm,Public Talks & Tours
Figure and Form with London St Art Club,The Village NZ,Wed 14 Jun 6:30pm,Family & Lifestyle
From Broadway to West End,Centrestage Theatre,Wed 14 Jun 11:00am,Theatre
APO | The NZ Herald Premier Series: Simple Gifts,Auckland Town Hall - Great Hall,Thu 15 Jun 7:30pm,Classical Music
Auckland Uncanvased: Nude Life Drawing,The Bridgman,Thu 15 Jun 6:30pm,"Food, Gourmet, Wine"
NZ Careers Expo - Auckland,The Cloud,Thu 15 Jun 10:00am,"Lifestyle Shows, Expos"
Flashback to the 80s,Phoenix Cabaret,Fri 16 Jun 7:30pm,"Covers, Tribute Bands"
Back to the 80's Party,Remuera Club,Fri 16 Jun 6:30pm,Bar DJs
Dirty Work,Q Theatre,Fri 16 Jun 8:00pm,Theatre
Fight Night,Orewa Arts & Events Centre,Sat 17 Jun 5:00pm,Boxing
Auckland Tuatara v Southland Sharks,Eventfinda Stadium,Sat 17 Jun 7:00pm,Basketball
Disco Inferno - Auckland's Hottest Retro Dance Party!,Galatos,Sat 17 Jun 8:00pm,Bar DJs
Trentemøller | Auckland,Powerstation,Sat 17 Jun 7:00pm,Electronica
APO | Community Classics Central: Song & Dance,Auckland Town Hall - Great Hall,Sat 17 Jun 3:00pm,Classical Music
Chris Parker,Kiri Te Kanawa Theatre - Aotea Centre,Sat 17 Jun 7:00pm,Comedy
Platters that Matter | Workshop,UXBRIDGE Arts & Culture Centre,Sat 17 Jun 9:30am,Markets and Fairs
Solid Shampoo & Conditioner Bars | Workshop,UXBRIDGE Arts & Culture Centre,Sat 17 Jun 9:30am,"Lifestyle Shows, Expos"
The Vanns,The Tuning Fork,Sat 17 Jun 7:30pm,Rock
Woolfest Auckland Aftermath,Greenhithe Community Hall,Sat 17 Jun 9:30am,Education
Brahms' Piano Monument,St Matthew-in-the-City,Sun 18 Jun 2:30pm,Classical Music
AYO - Auckland Youth Orchestra - America!,Orewa Arts & Events Centre,Sun 18 Jun 5:30pm,Classical Music
Learn Tarot for Beginners,Te Atatu Peninsula Community Centre,Sun 18 Jun 10:30am,Public Talks & Tours
Ponsonby Central Winter Market,The Sapphire Room,Sun 18 Jun 10:00am,Markets and Fairs
Free Bubble Soccer in the Park - Lloyd Elsmore Park,Lloyd Elsmore Park,Sun 18 Jun 2:30pm,"Games, Carnivals"
Managing Yourself & Leading Others,The Australasian Leadership Institute,Mon 19 Jun 10:00am,Business & Professional
Auckland Film Society – Crash,Academy Cinemas,Mon 19 Jun 6:15pm,Film
Creative Talks: Emma Bishop Arts Practitioner and Broadcaste,The PumpHouse Theatre,Mon 19 Jun 7:00pm,Public Talks & Tours
Ice Skate Tour,Mairangi Bay Primary School,Tue 20 Jun 5:00pm,Skating
BuildNZ 2023,Auckland Showgrounds,Tue 20 Jun 10:00am,Business & Professional
Facilities Integrate 2023,Auckland Showgrounds,Tue 20 Jun 10:00am,Business & Professional
The National Safety Show 2023,Auckland Showgrounds,Tue 20 Jun 10:00am,Business & Professional
Drag Bingo! - with Anita Wigl'it,Parāoa Brewing Co.,Wed 21 Jun 7:00pm,Comedy
AYP Social & Networking Drinks,The Lula Inn,Wed 21 Jun 5:30pm,Business & Professional
Ladies Night,Gao Asian Fusion Restaurant,Thu 22 Jun 5:00pm,Pop
Hot HIIT Pilates Teacher Training,Hot Yoga Works Britomart,Fri 23 Jun 8:00am,Mind & Body
The Auckland South Home Show 2023,BNZ Theatre at Due Drop Events Centre,Fri 23 Jun 10:00am,"Lifestyle Shows, Expos"
PRISCILLA QUEEN OF THE DESERT: Interactive movie experience,"Event Cinema, Westfield Newmarket",Sat 24 Jun 9:00pm,Film
Abba Heaven,Parāoa Brewing Co.,Sat 24 Jun 8:30pm,"Covers, Tribute Bands"
Auckland Tuatara v Nelson Giants,Eventfinda Stadium,Sat 24 Jun 5:00pm,Basketball
Regiena's Spiritual Workshops,Lopdell House,Sat 24 Jun 1:00pm,Business & Professional
Halloumi & Paneer Cheese Making | Workshop,UXBRIDGE Arts & Culture Centre,Sat 24 Jun 2:00pm,"Food, Gourmet, Wine"
Home Design: Colour 101 | Workshop,UXBRIDGE Arts & Culture Centre,Sat 24 Jun 1:00pm,"Lifestyle Shows, Expos"
Antique & Collectors Fair,Clevedon Community Centre,Sat 24 Jun 10:00am,Markets and Fairs
The Magic Faraway Tree – Live On Stage,The PumpHouse Theatre,Sat 24 Jun 5:00pm,Theatre
Embroidery with Jo Dixey,New Zealand Maritime Museum,Sat 24 Jun 1:00pm,Family & Lifestyle
Winter Pruning | Workshop,UXBRIDGE Arts & Culture Centre,Sat 24 Jun 10:00am,Mind & Body
Intro to Sign Painting | Workshop,UXBRIDGE Arts & Culture Centre,Sat 24 Jun 9:00am,"Ethnic, Multicultural"
Learn about Volunteering in Rodney,Matakana Hall,Sat 24 Jun 10:00am,Family & Lifestyle
Michael Bublé,Spark Arena,Sun 25 Jun 8:00pm,Pop
"Bach Musica NZ: Poulenc, Rodrigo, Vivaldi, Bramah",Auckland Town Hall - Great Hall,Sun 25 Jun 5:00pm,Classical Music
Hoedown at the Ranch,Hibiscus Coast RSA,Sun 25 Jun 4:00pm,Country
Fine Food New Zealand 2023,Auckland Showgrounds,Sun 25 Jun 10:00am,Business & Professional
From Broadway to West End,C3 Christian City Church,Mon 26 Jun 11:00am,Theatre
"The MBA Journey: Challenges, Opportunities & Personal Growth",AUT Business School,Tue 27 Jun 6:00pm,Business & Professional
From Broadway to West End,St Columba Presbyterian Church,Tue 27 Jun 11:00am,Theatre
Intro to Watercolours | Workshop,UXBRIDGE Arts & Culture Centre,Tue 27 Jun 9:30am,Mind & Body
Under the Mountain - Auckland’s Volcanoes with Kirsty Webb,Whare Wānanga,Wed 28 Jun 12:00pm,Public Talks & Tours
From Broadway to West End,Windsor Park Baptist Church,Wed 28 Jun 11:00am,Theatre
Casual First Date — An Improvised Comedy Show,"Tiny Theatre, Garnet Station",Thu 29 Jun 7:30pm,Comedy
From Broadway to West End,Warkworth Town Hall,Thu 29 Jun 11:00am,Theatre
Bollywood Showdown 2023,The Dorothy Winstone Centre,Fri 30 Jun 7:00pm,Dance
SJD - The Sweetheart Tour Aotearoa,The Hollywood Avondale,Fri 30 Jun 8:00pm,"Alternative, Indie"
Taylor Tomlinson - The Have It All Tour,Auckland Town Hall - Great Hall,Fri 30 Jun 7:00pm,Comedy
The Underground Best of Britrock - Live & Acoustic,Northern Line Bar & Social,Fri 30 Jun 8:00pm,Rock
Mātātoa 2023,Te Pai Centre,Sat 1 Jul 5:00am,Fitness
Propaganda - 10 Year Anniversary,Sweat Shop Brew Kitchen,Sat 1 Jul 9:30pm,Electronica
The Underground Best of Britrock,Galatos,Sat 1 Jul 7:00pm,Rock
Auckland Tuatara v Canterbury Rams,Eventfinda Stadium,Sun 2 Jul 6:00pm,Basketball
Waipoua,Te Tuhi,Sun 2 Jul 5:00pm,Classical Music
Jackie Goes Prima Diva,Harrington Theatre,Sun 2 Jul 6:00pm,Musicals
Cirque du Soleil: Crystal,Spark Arena,Tue 4 Jul 7:30pm,Circus
Henry Rollins - Good To See You,The Vic Theatre Devonport,Wed 5 Jul 8:00pm,"Alternative, Indie"
Henry Rollins - Good To See You,SkyCity Theatre,Thu 6 Jul 8:00pm,"Alternative, Indie"
Frozen Jr,Playhouse Theatre,Sat 8 Jul 7:00pm,Musicals
Sounds of Samoa - Punialava'a Auckland Show,Netball Manurewa,Sat 8 Jul 6:00pm,Music Festivals
APO | TTCF Opera in Concert: Die tote Stadt,Auckland Town Hall - Great Hall,Sat 8 Jul 7:30pm,Opera
Wood Fired Mugs,Wood Fired Pottery School,Sat 8 Jul 10:15am,Education
Game Grumps Live - Tournament Of Gamers,Bruce Mason Centre,Sun 9 Jul 8:00pm,"Games, Hobbies"
Basmati Bitch,Q Theatre,Tue 11 Jul 7:00pm,Theatre
APO | Matariki with Troy Kingi,Auckland Town Hall - Great Hall,Thu 13 Jul 7:30pm,Pop
Dealing with Difficult People & Situations,The Parnell Hotel & Conference Centre,Thu 13 Jul 8:30am,Business & Professional
Women's Street Smart Self-Defence Workshop,Massey Uni - Recreation Centre Albany,Sat 15 Jul 9:30am,Mind & Body
Auckland Tuatara v Wellington Saints,Eventfinda Stadium,Sun 16 Jul 6:00pm,Basketball
The 2023 Executive Leadership Programme,Office CBD,Tue 18 Jul 10:00am,Business & Professional
Lewis Capaldi,Spark Arena,Tue 18 Jul 7:00pm,Pop
Drag Bingo - with Anita Wigl'it!,Caluzzi Bar & Cabaret,Wed 19 Jul 7:00pm,Comedy
APO | Bayleys Great Classics: Might & Majesty,Auckland Town Hall - Great Hall,Thu 20 Jul 7:30pm,Classical Music
Beats By Bingo,The Horse and Trap,Thu 20 Jul 7:30pm,"Quiz, Karaoke"
Dubtastic -Part of Elemental AKL,Covert Theatre,Fri 21 Jul 7:30pm,Theatre
Winetopia Auckland 2023,Viaduct Events Centre,Fri 21 Jul 5:00pm,"Food, Gourmet, Wine"
Step Out - Peter Urlich Swingin' Sextet,Regatta Bar & Eatery,Sat 22 Jul 7:00pm,"Swing, Big Bands"
Singles Night on the Shore,Takapuna Cricket Club,Sat 22 Jul 6:30pm,Bar DJs
APO | Community Classics South: Song & Dance,Sir Woolf Fisher Arena Due Drop Events Centre,Sat 22 Jul 3:00pm,Classical Music
Wonderland Glow Show,Centrestage Theatre,Sat 22 Jul 10:00am,Theatre
APO | In Your Neighbourhood: Schubert's String Quintet,Titirangi War Memorial Hall,Mon 24 Jul 6:30pm,Classical Music
APO | In Your Neighbourhood: Schubert's String Quintet,St Heliers Church & Community Centre‎,Tue 25 Jul 6:30pm,Classical Music
The Developing Brain - Auckland,Orewa North Primary School,Wed 26 Jul 7:30pm,Public Talks & Tours
Lizzo | Auckland,Spark Arena,Wed 26 Jul 7:00pm,Pop
AYP Social & Networking Drinks,Sweat Shop Brew Kitchen,Wed 26 Jul 5:30pm,Business & Professional
The Auckland Food Show 2023,Auckland Showgrounds,Thu 27 Jul 10:00am,"Food, Gourmet, Wine"
Swag On The Beat | Auckland,Bruce Mason Centre,Fri 28 Jul 7:00pm,Comedy
Stetson Club Chet OConnell,Dairy Flat Community Hall,Fri 28 Jul 7:30pm,Country
Viva Las Vegas - A Night With The Talented David Pomeroy,Hibiscus Coast RSA,Fri 28 Jul 7:00pm,Pop
"Jen Cloher • I Am The River, The River Is Me Release • AKL",Whammy Bar,Sat 29 Jul 8:00pm,"Alternative, Indie"
West Auckland (Kumeu) Junior Tough Guy and Gal Challenge,Kumeu Showgrounds,Tue 1 Aug 8:00am,Fun Runs & Walks
HeritageTalk: Settling the Waikato with Marie Hickey,Whare Wānanga,Wed 2 Aug 12:00pm,Public Talks & Tours
APO | The NZ Herald Premier Series: Brahms 1,Auckland Town Hall - Great Hall,Thu 3 Aug 7:00pm,Classical Music
Mrs Exquisite NZ 2023,Māngere Arts Centre - Ngā Tohu o Uenuku,Sat 5 Aug 11:00am,Fashion
Come Together - Fleetwood Mac's Rumours,Kiri Te Kanawa Theatre - Aotea Centre,Sat 5 Aug 8:00pm,Rock
Auckland Tough Guy and Gal Challenge,Kumeu Showgrounds,Sat 5 Aug 8:00am,Fun Runs & Walks
Auckland Singles Night,Remuera Club,Sat 5 Aug 6:30pm,Bar DJs
Two-day Lighting & Sound Design Workshop with Glen Mortensen,Howick Little Theatre,Sat 5 Aug 10:00am,Education
Introduction to Playwriting workshop with Paul Kalburgi,Howick Little Theatre,Tue 8 Aug 7:00pm,Education
Lightscapes,Kiri Te Kanawa Theatre - Aotea Centre,Thu 10 Aug 7:30pm,Ballet
2023 Auckland Family History Expo,Fickling Convention Centre,Fri 11 Aug 5:00pm,Public Talks & Tours
Things That Matter,ASB Waterfront Theatre,Fri 11 Aug 7:00pm,Theatre
2023 NZ International Building Expo & Summit - Auckland,Sir Woolf Fisher Arena Due Drop Events Centre,Fri 11 Aug 9:30am,Business & Professional
ABBA Heaven! Tribute Band,The Postman's Leg,Sat 12 Aug 8:00pm,"Covers, Tribute Bands"
Auckland Record Fair,Freeman's Bay Community Hall,Sat 12 Aug 9:00am,Markets and Fairs
APO | Carnival of the Animals,Auckland Town Hall - Great Hall,Sat 12 Aug 2:00am,Classical Music
Hamilton & Houstoun,BNZ Theatre at Due Drop Events Centre,Sun 13 Aug 5:00pm,Classical Music
APO | Bayleys Great Classics: Shostakovich 5,Auckland Town Hall - Great Hall,Thu 17 Aug 7:30pm,Classical Music
Thinking Matters Auckland Conference 2023,C3 Christian City Church,Fri 18 Aug 7:00pm,Family & Lifestyle
The Oboe & the Italian,St Matthew-in-the-City,Sun 20 Aug 2:30pm,Classical Music
Glasshouse Market,Morningside Glasshouse,Sun 20 Aug 10:00am,Markets and Fairs
Creative Talks: David Veart Historian and Writer,The PumpHouse Theatre,Mon 21 Aug 7:00pm,Public Talks & Tours
J.I.D,Shed 10,Wed 23 Aug 8:00pm,"Hip Hop, Rap"
Last Night of the Proms,Windsor Park Baptist Church,Wed 23 Aug 11:00am,Theatre
APO | The NZ Herald Premier Series: In The Elements,Auckland Town Hall - Great Hall,Thu 24 Aug 7:30pm,Classical Music
Last Night of The Proms,Warkworth Town Hall,Thu 24 Aug 11:00am,Theatre
The Boss - Bruce Springsteen Experience,Bruce Mason Centre,Fri 25 Aug 7:30pm,Classic Rock
The Auckland Vintage Textile Fair,Alexandra Park Raceway,Sun 27 Aug 10:00am,Markets and Fairs
C.V Spiritual Holistic & Wellness Expo,Te Atatu Peninsula Community Centre,Sun 27 Aug 10:00am,Markets and Fairs
New Zealand Singles Convention,Remuera Club,Sat 2 Sep 4:00pm,Family & Lifestyle
(m)Orpheus,ASB Waterfront Theatre,Wed 6 Sep 7:30pm,Opera
Singles Night,Takapuna Cricket Club,Sat 9 Sep 6:30pm,Bar DJs
Leather Craft | Workshop,UXBRIDGE Arts & Culture Centre,Sat 9 Sep 9:00am,Business & Professional
Creative Talks Lizzie Harwood Author,The PumpHouse Theatre,Mon 11 Sep 7:00pm,Public Talks & Tours
APO | The NZ Herald Premier Series: Mozart 40,Auckland Town Hall - Great Hall,Thu 14 Sep 7:30pm,Classical Music
The Future of Medicine Conference,AUT University,Fri 15 Sep 9:00am,Education
Roald Dahl's The Twits – Live On Stage,The PumpHouse Theatre,Sat 16 Sep 5:00pm,Theatre
Sweet Sadness,St Matthew-in-the-City,Sun 17 Sep 2:30pm,Classical Music
Botanical Market,Morningside Glasshouse,Sun 17 Sep 10:00am,Markets and Fairs
"Bach Musica NZ: Schumann, Vanhal, Schubert",Auckland Town Hall - Great Hall,Sun 17 Sep 5:00pm,Classical Music
Last Night of the Proms,C3 Christian City Church,Mon 18 Sep 11:00am,Theatre
Last Night of The Proms,St Columba Presbyterian Church,Tue 19 Sep 11:00am,Theatre
Switzerland,ASB Waterfront Theatre,Tue 19 Sep 7:00pm,Theatre
Foodtech Packtech/Materials Handling and Logistics Expo 2023,Auckland Showgrounds,Tue 19 Sep 9:00am,Business & Professional
Last Night of the Proms,Centrestage Theatre,Wed 20 Sep 11:00am,Theatre
25th Sri Chinmoy 6-12-24 Hour Track Races & Teams Relay,AUT Millennium,Sat 23 Sep 9:00am,Athletics
APO | Toy Story in Concert,Aotea Centre,Sat 23 Sep 2:30pm,Classical Music
NZTrio: Tunes From My Home,Auckland Town Hall - Concert Chamber,Sun 24 Sep 5:00pm,Classical Music
Red Bull Formula 1 Energy Station,Sweat Shop Brew Kitchen,Sun 24 Sep 2:00pm,Motorsport
APO | The NZ Herald Premier Series: Mozart's Clarinet,Auckland Town Hall - Great Hall,Thu 28 Sep 7:30pm,Classical Music
Creative Talks Malcolm Calder Producer and Senior Arts Admin,The PumpHouse Theatre,Mon 2 Oct 7:00pm,Public Talks & Tours
Viva Las Vegas,Windsor Park Baptist Church,Wed 4 Oct 11:00am,Theatre
Howick Little Plays,Howick Little Theatre,Wed 4 Oct 8:00pm,Theatre
Queen: It's a Kinda Magic,Kiri Te Kanawa Theatre - Aotea Centre,Thu 5 Oct 8:00pm,"Covers, Tribute Bands"
Viva Las Vegas,Warkworth Town Hall,Thu 5 Oct 11:00am,Theatre
"Laughs in the ""Burb's"" - Hobsonville Point - 7 October 2023",Sunderland Lounge,Sat 7 Oct 7:05pm,Comedy
APO | In Your Neighbourhood: Queen of Harps,St Lukes Church,Mon 9 Oct 6:30pm,Classical Music
Roald Dahl’s The Twits – Live On Stage,BNZ Theatre at Due Drop Events Centre,Tue 10 Oct 10:30am,Theatre
APO | In Your Neighbourhood: Queen of Harps,All Saints Anglican Church,Tue 10 Oct 6:30pm,Classical Music
Preventing Suicide Using the Solution Focused Approach,The Parnell Hotel & Conference Centre,Tue 10 Oct 9:00am,Business & Professional
CMNZ Series - Reimagining Mozart,Holy Trinity Cathedral,Fri 13 Oct 8:00pm,Classical Music
APO | Community Classics West: Song & Dance,The Trusts Arena,Sat 14 Oct 3:00pm,Classical Music
Beethoven's Triple,St Matthew-in-the-City,Sun 15 Oct 2:30pm,Classical Music
Auckland Plant Market,Smales Farm,Sun 15 Oct 9:00am,Markets and Fairs
Sri Chinmoy Auckland Series 2023,Lovelock Track,Sun 15 Oct 7:45am,Fun Runs & Walks
Roald Dahl’s The Twits – Live On Stage,Māngere Arts Centre - Ngā Tohu o Uenuku,Tue 17 Oct 10:30am,Theatre
APO | The NZ Herald Premier Series: Symphonic Dances,Auckland Town Hall - Great Hall,Thu 19 Oct 7:30pm,Classical Music
Ultimate Retro Party 2023 (Pre-Registration),Barfoot & Thompson Stadium,Sat 21 Oct 7:00pm,Pop
Viva Las Vegas,St Columba Presbyterian Church,Tue 24 Oct 11:00am,Theatre
Roald Dahl’s The Twits – Live On Stage,Te Oro,Wed 25 Oct 10:30am,Theatre
Viva Las Vegas,Centrestage Theatre,Wed 25 Oct 11:00am,Theatre
APO | Baroque & Beyond: Eight Seasons,Holy Trinity Cathedral,Thu 26 Oct 7:30pm,Classical Music
Nightmare on K-Road! Halloween Drag Show,Phoenix Cabaret,Tue 31 Oct 6:30pm,Drag Performance
APO | Hocus Pocus in Concert,Aotea Centre,Tue 31 Oct 7:30pm,Classical Music
Park Comedy,Potters Park,Wed 1 Nov 7:00pm,Comedy
NZTrio: Dumky,Nathan Homestead - Manurewa Arts Centre,Sat 4 Nov 5:00pm,Classical Music
Queen: It's a Kinda Magic,Bruce Mason Centre,Sat 4 Nov 8:00pm,"Covers, Tribute Bands"
Viva Las Vegas,C3 Christian City Church,Mon 6 Nov 11:00am,Theatre
The Bootleg Beatles 2023 NZ Tour Auckland Concert,Kiri Te Kanawa Theatre - Aotea Centre,Thu 9 Nov 7:30pm,Classic Rock
The Corrs,Spark Arena,Thu 9 Nov 6:00pm,Pop
The Original Wailers,Powerstation,Fri 10 Nov 8:00pm,Reggae
The Retro Event 2023 - An 80s/90s Pop Culture Market/Expo,Barfoot & Thompson Stadium,Sat 11 Nov 10:00am,"Games, Hobbies"
APO | The NZ Herald Premier Series: Mahler 5,Auckland Town Hall - Great Hall,Sat 11 Nov 7:30pm,Classical Music
Park Comedy,Jellicoe Park,Wed 15 Nov 7:00pm,Comedy
The Sweet Caroline Tour: A Tribute to Neil Diamond,Bruce Mason Centre,Thu 16 Nov 2023 8:00pm,"Covers, Tribute Bands"
APO | Bayleys Great Classics: Gavrylyuk Plays Tchaikovsky,Auckland Town Hall - Great Hall,Fri 17 Nov 2023 7:30pm,Classical Music
Retro Party,Remuera Club,Fri 17 Nov 2023 6:30pm,Bar DJs
Amalia Hall Plays Elgar,BNZ Theatre at Due Drop Events Centre,Sat 18 Nov 2023 7:30pm,Classical Music
Women's Street Smart Self-Defence Workshop,Massey Uni - Recreation Centre Albany,Sat 18 Nov 2023 9:30am,Mind & Body
Kids Show: The Bubble Show with the Highland Joker,UXBRIDGE Arts & Culture Centre,Sat 18 Nov 2023 11:00am,"Children, Kids, Holidays"
APO | The NZ Herald Premier Series: Beethoven's Violin,Auckland Town Hall - Great Hall,Fri 24 Nov 2023 7:30pm,Classical Music
North Shore Singles Night,Northcote Birkenhead Rugby Club,Sat 25 Nov 2023 6:30pm,Bar DJs
NZTrio: Dumky,Auckland Town Hall - Concert Chamber,Sun 26 Nov 2023 5:00pm,Classical Music
Hansel & Gretel,Kiri Te Kanawa Theatre - Aotea Centre,Thu 30 Nov 2023 7:30pm,Ballet
The Santa Claus Show '23 – Live On Stage,The PumpHouse Theatre,Sat 2 Dec 2023 5:00pm,Theatre
Portland Comedy Night,The Portland Public House,Wed 6 Dec 2023 7:50pm,Comedy
Christmas Singles Party,Remuera Club,Fri 8 Dec 2023 7:00pm,Bar DJs
Hansel & Gretel,Bruce Mason Centre,Fri 8 Dec 2023 7:30pm,Ballet
Bach Musica NZ: Bach Christmas Oratorio Parts 1 - 3,Auckland Town Hall - Great Hall,Sun 10 Dec 2023 5:00pm,Classical Music
Christmas in Vienna,C3 Christian City Church,Mon 11 Dec 2023 11:00am,Theatre
Christmas in Vienna,St Columba Presbyterian Church,Tue 12 Dec 2023 11:00am,Theatre
The Sweet Caroline Tour: A Tribute to Neil Diamond,SkyCity Theatre,Fri 15 Dec 2023 8:00pm,"Covers, Tribute Bands"
APO | Stanley Street Presents Celebrate Christmas,Holy Trinity Cathedral,Fri 15 Dec 2023 7:30pm,Classical Music
Lofia Showcase 2023,Fale O Samoa,Sat 16 Dec 2023 5:00pm,Dance
New Year's Eve Party with the Party Rockers,Remuera Club,Sun 31 Dec 2023 7:00pm,"Covers, Tribute Bands"
Clevedon Half Marathon,Clevedon Farmers Market,Sun 4 Feb 2024 7:00am,"Marathon, Running"
Blink-182,Spark Arena,Fri 1 Mar 2024 7:00pm,Rock
