Category,Month,Utilisation,Location
Squad Campervan,Jan,0.0447,Denver 
Biggie Campervan,Jan,0.1281,Denver 
Smalls Campervan,Jan,0.0905,Denver 
Squad Campervan,Feb,0.0357,Denver 
Biggie Campervan,Feb,0.2976,Denver 
Smalls Campervan,Feb,0.0864,Denver 
Squad Campervan,Mar,0.2208,Denver 
Biggie Campervan,Mar,0.4066,Denver 
Smalls Campervan,Mar,0.2518,Denver 
Squad Campervan,Apr,0.532756,Denver 
Biggie Campervan,Apr,0.511768,Denver 
Smalls Campervan,Apr,0.414884,Denver 
Squad Campervan,May,0.5136,Denver 
Biggie Campervan,May,0.521,Denver 
Smalls Campervan,May,0.5463,Denver 
Squad Campervan,Jun,0.5282,Denver 
Biggie Campervan,Jun,0.5434,Denver 
Smalls Campervan,Jun,0.5133,Denver 
Squad Campervan,Jul,0.6179,Denver 
Biggie Campervan,Jul,0.567,Denver 
Smalls Campervan,Jul,0.6585,Denver 
Squad Campervan,Aug,0.6228,Denver 
Biggie Campervan,Aug,0.6383,Denver 
Smalls Campervan,Aug,0.6551,Denver 
Squad Campervan,Sep,0.3325,Denver 
Biggie Campervan,Sep,0.4182,Denver 
Smalls Campervan,sep,0.4151,Denver 
Squad Campervan,Oct,0.1615,Denver 
Biggie Campervan,Oct,0.2765,Denver 
Smalls Campervan,Oct,0.1539,Denver 
Squad Campervan,Nov,0.1563,Denver 
Biggie Campervan,Nov,0.1056,Denver 
Smalls Campervan,Nov,0.0952,Denver 
Squad Campervan,Dec,0.1563,Denver 
Biggie Campervan,Dec,0.1056,Denver 
Smalls Campervan,Dec,0.0952,Denver 
Squad Campervan,Jan,0.1183,Las Vegas
Biggie Campervan,Jan,0.1075,Las Vegas
Smalls Campervan,Jan,0.1221,Las Vegas
Squad Campervan,Feb,0.1548,Las Vegas
Biggie Campervan,Feb,0.219,Las Vegas
Smalls Campervan,Feb,0.1327,Las Vegas
Squad Campervan,Mar,0.3118,Las Vegas
Biggie Campervan,Mar,0.3527,Las Vegas
Smalls Campervan,Mar,0.3364,Las Vegas
Squad Campervan,Apr,0.53,Las Vegas
Biggie Campervan,Apr,0.426332,Las Vegas
Smalls Campervan,Apr,0.416474,Las Vegas
Squad Campervan,May,0.4946,Las Vegas
Biggie Campervan,May,0.514,Las Vegas
Smalls Campervan,May,0.5576,Las Vegas
Squad Campervan,Jun,0.4667,Las Vegas
Biggie Campervan,Jun,0.4756,Las Vegas
Smalls Campervan,Jun,0.4857,Las Vegas
Squad Campervan,Jul,0.8333,Las Vegas
Biggie Campervan,Jul,0.52,Las Vegas
Smalls Campervan,Jul,0.6667,Las Vegas
Squad Campervan,Aug,0.8065,Las Vegas
Biggie Campervan,Aug,0.6,Las Vegas
Smalls Campervan,Aug,0.5968,Las Vegas
Squad Campervan,Sep,0.6667,Las Vegas
Biggie Campervan,Sep,0.6689,Las Vegas
Smalls Campervan,sep,0.7262,Las Vegas
Squad Campervan,Oct,0.3556,Las Vegas
Biggie Campervan,Oct,0.4061,Las Vegas
Smalls Campervan,Oct,0.4,Las Vegas
Squad Campervan,Nov,0.4222,Las Vegas
Biggie Campervan,Nov,0.2909,Las Vegas
Smalls Campervan,Nov,0.1695,Las Vegas
Squad Campervan,Dec,0.3011,Las Vegas
Biggie Campervan,Dec,0.0874,Las Vegas
Smalls Campervan,Dec,0.1298,Las Vegas
Squad Campervan,Jan,0.1183,Phoenix
Biggie Campervan,Jan,0.1075,Phoenix
Smalls Campervan,Jan,0.1221,Phoenix
Squad Campervan,Feb,0.1548,Phoenix
Biggie Campervan,Feb,0.219,Phoenix
Smalls Campervan,Feb,0.1327,Phoenix
Squad Campervan,Mar,0.3118,Phoenix
Biggie Campervan,Mar,0.3527,Phoenix
Smalls Campervan,Mar,0.3364,Phoenix
Squad Campervan,Apr,0.53,Phoenix
Biggie Campervan,Apr,0.426332,Phoenix
Smalls Campervan,Apr,0.416474,Phoenix
Squad Campervan,May,0.4946,Phoenix
Biggie Campervan,May,0.514,Phoenix
Smalls Campervan,May,0.5576,Phoenix
Squad Campervan,Jun,0.4667,Phoenix
Biggie Campervan,Jun,0.4756,Phoenix
Smalls Campervan,Jun,0.4857,Phoenix
Squad Campervan,Jul,0.8333,Phoenix
Biggie Campervan,Jul,0.52,Phoenix
Smalls Campervan,Jul,0.6667,Phoenix
Squad Campervan,Aug,0.8065,Phoenix
Biggie Campervan,Aug,0.6,Phoenix
Smalls Campervan,Aug,0.5968,Phoenix
Squad Campervan,Sep,0.6667,Phoenix
Biggie Campervan,Sep,0.6689,Phoenix
Smalls Campervan,sep,0.7262,Phoenix
Squad Campervan,Oct,0.3556,Phoenix
Biggie Campervan,Oct,0.4061,Phoenix
Smalls Campervan,Oct,0.4,Phoenix
Squad Campervan,Nov,0.4222,Phoenix
Biggie Campervan,Nov,0.2909,Phoenix
Smalls Campervan,Nov,0.1695,Phoenix
Squad Campervan,Dec,0.3011,Phoenix
Biggie Campervan,Dec,0.0874,Phoenix
Smalls Campervan,Dec,0.1298,Phoenix
Squad Campervan,Jan,0,SLC
Biggie Campervan,Jan,0.2074,SLC
Smalls Campervan,Jan,0.0054,SLC
Squad Campervan,Feb,0,SLC
Biggie Campervan,Feb,0.352,SLC
Smalls Campervan,Feb,0.006,SLC
Squad Campervan,Mar,0.172,SLC
Biggie Campervan,Mar,0.5207,SLC
Smalls Campervan,Mar,0.2419,SLC
Squad Campervan,Apr,0.572612,SLC
Biggie Campervan,Apr,0.60049,SLC
Smalls Campervan,Apr,0.420396,SLC
Squad Campervan,May,0.5889,SLC
Biggie Campervan,May,0.5333,SLC
Smalls Campervan,May,0.6333,SLC
Squad Campervan,Jun,0.5556,SLC
Biggie Campervan,Jun,0.6333,SLC
Smalls Campervan,Jun,0.62,SLC
Squad Campervan,Jul,0.6882,SLC
Biggie Campervan,Jul,0.5392,SLC
Smalls Campervan,Jul,0.7339,SLC
Squad Campervan,Aug,0.6667,SLC
Biggie Campervan,Aug,0.553,SLC
Smalls Campervan,Aug,1.0315,SLC
Squad Campervan,Sep,0.6,SLC
Biggie Campervan,Sep,0.6429,SLC
Smalls Campervan,sep,0.6533,SLC
Squad Campervan,Oct,0.4516,SLC
Biggie Campervan,Oct,0.4839,SLC
Smalls Campervan,Oct,0.3484,SLC
Squad Campervan,Nov,0.0333,SLC
Biggie Campervan,Nov,0.219,SLC
Smalls Campervan,Nov,0.1333,SLC
Squad Campervan,Dec,0.0667,SLC
Biggie Campervan,Dec,0.0095,SLC
Smalls Campervan,Dec,0,SLC
