Region,Autumn,Winter,Spring,Summer
Auckland,Apr 7 - Apr 23,Jul 1 - Jul 16,Sep 23 - Oct 8,Dec 21 - Jan 31
Canterbury,Apr 7 - Apr 23,Jul 1 - Jul 16,Sep 23 - Oct 8,Dec 21 - Jan 31
Hawke's Bay,Apr 7 - Apr 23,Jul 1 - Jul 16,Sep 23 - Oct 8,Dec 21 - Jan 31
Marlborough,Apr 7 - Apr 23,Jul 1 - Jul 16,Sep 23 - Oct 8,Dec 21 - Jan 31
Nelson,Apr 7 - Apr 23,Jul 1 - Jul 16,Sep 23 - Oct 8,Dec 21 -Jan 31
Otago,Apr 7 - Apr 23,Jul 1 - Jul 16,Sep 23 - Oct 8,Dec 21 - Jan 31
Southland,Apr 7 - Apr 23,Jul 1 - Jul 16,Sep 23 - Oct 8,Dec 21 - Jan 31
Taranaki,Apr 7 - Apr 23,Jul 1 - Jul 16,Sep 23 - Oct 8,Dec 21 - Jan 31
Wellington,Apr 7 - Apr 23,Jul 1 - Jul 16,Sep 23 - Oct 8,Dec 21 - Jan 31
West Coast,Apr 7 - Apr 23,Jul 1 - Jul 16,Sep 23 - Oct 8,Dec 21 - Jan 31
Australian Capital Territory,Apr 7 - Apr 23,Jul 1 - Jul 16,Sep 23 - Oct 8,"Dec 16, 2023 - Jan 30, 2024"
New South Wales,Apr 10 - Apr 21,Jul 3 - Jul 14,Sep 25 - Oct 6,"Dec 20, 2023 - Jan 29, 2024"
Northern Territory,Apr 7 - Apr 16,Jun 24 - Jul 17,Sep 23 - Oct 8,"Dec 16, 2023 - Jan 29, 2024"
Queensland,Apr 1 - Apr 16,Jun 24 - Jul 9,Sep 16 - Oct 2,"Dec 9, 2023 - Jan 21, 2024"
South Australia,Apr 15 - Apr 30,Jul 8 - Jul 23,Sep 30 - Oct 15,"Dec 16, 2023 - Jan 28, 2024"
Tasmania,Apr 6 - Apr 25,Jul 8 - Jul 24,Sep 30 - Oct 15,Dec 22 - Jan 31
Victoria,Apr 7 - Apr 23,Jun 24 - Jul 9,Sep 16 - Oct 1,"Dec 21, 2023 - Jan 29, 2024"
Western Australia,Apr 7 - Apr 23,Jul 1 - Jul 16,Sep 23 - Oct 8,"Dec 15, 2023 - Jan 30, 2024"
Auckland,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 21, 2024 - Jan 31, 2025"
Canterbury,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 21, 2024 - Jan 31, 2025"
Hawke's Bay,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 21, 2024 - Jan 31, 2025"
Marlborough,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 21, 2024 - Jan 31, 2025"
Nelson,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 21, 2024 - Jan 31, 2025"
Otago,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 21, 2024 - Jan 31, 2025"
Southland,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 21, 2024 - Jan 31, 2025"
Taranaki,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 21, 2024 - Jan 31, 2025"
Wellington,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 21, 2024 - Jan 31, 2025"
West Coast,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 21, 2024 - Jan 31, 2025"
Australian Capital Territory,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 18, 2024 - Feb 3, 2025"
New South Wales,Apr 15 - Apr 26,Jul 8 - Jul 19,Sep 30 - Oct 11,"Dec 23, 2024 - Jan 30, 2025"
Northern Territory,Apr 6 - Apr 14,Jun 22 - Jul 15,Sep 21 - Oct 6,"Dec 14, 2024 - Jan 28, 2025"
Queensland,Mar 29 - Apr 14,Jun 22 - Jul 7,Sep 14 - Sep 29,"Dec 14, 2024 - Jan 27, 2025"
South Australia,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 14, 2024 - Jan 27, 2025"
Victoria,Mar 29 - Apr 14,Jun 29 - Jul 14,Sep 21 - Oct 6,"Dec 21, 2024 - Jan 28, 2025"
Western Australia,Mar 29 - Apr 14,Jun 29 - Jul 14,Sep 21 - Oct 6,"Dec 13, 2024 - Feb 4, 2025"
Tasmania,Apr 6 - Apr 25,Jul 8 - Jul 24,Sep 30 - Oct 15,Dec 22 - Jan 31
Auckland,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 21, 2024 - Jan 31, 2025"
Canterbury,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 21, 2024 - Jan 31, 2025"
Hawke's Bay,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 21, 2024 - Jan 31, 2025"
Marlborough,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 21, 2024 - Jan 31, 2025"
Nelson,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 21, 2024 - Jan 31, 2025"
Otago,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 21, 2024 - Jan 31, 2025"
Southland,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 21, 2024 - Jan 31, 2025"
Taranaki,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 21, 2024 - Jan 31, 2025"
Wellington,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 21, 2024 - Jan 31, 2025"
West Coast,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 21, 2024 - Jan 31, 2025"
Australian Capital Territory,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 18, 2024 - Feb 3, 2025"
New South Wales,Apr 15 - Apr 26,Jul 8 - Jul 19,Sep 30 - Oct 11,"Dec 23, 2024 - Jan 30, 2025"
Northern Territory,Apr 6 - Apr 14,Jun 22 - Jul 15,Sep 21 - Oct 6,"Dec 14, 2024 - Jan 28, 2025"
Queensland,Mar 29 - Apr 14,Jun 22 - Jul 7,Sep 14 - Sep 29,"Dec 14, 2024 - Jan 27, 2025"
South Australia,Apr 13 - Apr 28,Jul 6 - Jul 21,Sep 28 - Oct 13,"Dec 14, 2024 - Jan 27, 2025"
Victoria,Mar 29 - Apr 14,Jun 29 - Jul 14,Sep 21 - Oct 6,"Dec 21, 2024 - Jan 28, 2025"
Western Australia,Mar 29 - Apr 14,Jun 29 - Jul 14,Sep 21 - Oct 6,"Dec 13, 2024 - Feb 4, 2025"
Tasmania,Apr 6 - Apr 25,Jul 8 - Jul 24,Sep 30 - Oct 15,Dec 22 - Jan 31
